Artist_Name,Channel_Name,Song_Name,Video_Description,YouTube_Link,
100%,1theK,Bad Boy,Official Music Video,https://www.youtube.com/watch?v=sUcXhDmE7fE,
100%,100PERCENT,Beat,Official Music Video,https://www.youtube.com/watch?v=QYMpINYh4pk,
100%,100PERCENT,Better Day,Official Music Video,https://www.youtube.com/watch?v=XtiD4SS9msk,
100%,1theK,Better Day,Official MV,https://www.youtube.com/watch?v=9A9z8lXwl28,
100%,100PERCENT,U Beauty,Official Music Video,https://www.youtube.com/watch?v=7lcKKnPSwTY,
100%,100PERCENT,Want U Back,Official Music Video,https://www.youtube.com/watch?v=FxXCVxFZf2Q,
24K,1theK,Bingo,Official Music Video,https://www.youtube.com/watch?v=zEOo_zSAXxw,
24K,1theK,Hey You,Official Music Video,https://www.youtube.com/watch?v=utggP1n2P-o,
24K,Genie Music,Only You,Official Music Video,https://www.youtube.com/watch?v=UPOvNE6y3CE,
24K,1theK,Still 24K,Official Music Video,https://www.youtube.com/watch?v=WPsAtmGofT0,
24K,1theK,Super Fly,Official Music Video,https://www.youtube.com/watch?v=CnmLjdvTeCE,
24K,1theK,U R So Cute,Official Music Video,https://www.youtube.com/watch?v=cgJv3pJc1jw,
2NE1,2NE1,Can't Nobody,Official MV,https://www.youtube.com/watch?v=KQEabAesufg,
2NE1,2NE1,Clap Your Hands,Official MV,https://www.youtube.com/watch?v=ZTw-UM5Jy4E,
2NE1,2NE1,Come Back Home,Dance Practice,https://www.youtube.com/watch?v=0RUvealeXZ0,
2NE1,2NE1,Come Back Home,Official MV,https://www.youtube.com/watch?v=vLbfv-AAyvQ,
2NE1,2NE1,Crush,Official MV (Japanese Version),https://www.youtube.com/watch?v=TpC3TBIvRSk,
2NE1,2NE1,Do You Love Me,Dance Practice,https://www.youtube.com/watch?v=gwVWMmcM7HQ,
2NE1,2NE1,Do You Love Me,Official MV,https://www.youtube.com/watch?v=HRTb81FpWq0,
2NE1,2NE1,Falling in Love,Dance Practice,https://www.youtube.com/watch?v=gceDuSLvCPU,
2NE1,2NE1,Falling in Love,Official MV,https://www.youtube.com/watch?v=zEVd9pSG85Q,
2NE1,2NE1,Fire,Official MV (Space Version),https://www.youtube.com/watch?v=ISEoXdHb4W4,
2NE1,2NE1,Fire,Official MV (Street Version),https://www.youtube.com/watch?v=49AfuuRbgGo,
2NE1,2NE1,Follow Me,Official MV,https://www.youtube.com/watch?v=0q62LBAbphk,
2NE1,2NE1,Go Away,Official MV,https://www.youtube.com/watch?v=3yW13T2sfKg,
2NE1,2NE1,Goodbye,Official MV,https://www.youtube.com/watch?v=wEkLHC7l25w,
2NE1,2NE1,Gotta Be You,Dance Practice,https://www.youtube.com/watch?v=9Lk6lnTS5sU,
2NE1,2NE1,Gotta Be You,Official MV,https://www.youtube.com/watch?v=zdKTgwffmdo,
2NE1,2NE1,Happy,Official MV,https://www.youtube.com/watch?v=didptMJxjpE,
2NE1,2NE1,I Am The Best,Dance Practice,https://www.youtube.com/watch?v=fl19JYqW6MI,
2NE1,2NE1,I Am The Best,Official Music Video,https://www.youtube.com/watch?v=j7_lSP8Vc3o,
2NE1,2NE1,I Don't Care,Official MV,https://www.youtube.com/watch?v=zdZya6yATn0,
2NE1,2NE1,I Hate You,Official MV,https://www.youtube.com/watch?v=NB5jyYD2WEw,
2NE1,2NE1,I Love You,Dance Practice,https://www.youtube.com/watch?v=ZZEiDiDhlpI,
2NE1,2NE1,I Love You,Official MV,https://www.youtube.com/watch?v=LUrUPzLm5SI,
2NE1,2NE1,It Hurts,Official MV,https://www.youtube.com/watch?v=aUiMaz4BNKw,
2NE1,2NE1,Lonely,Official MV,https://www.youtube.com/watch?v=5n4V3lGEyG4,
2NE1,2NE1,Missing You,Official MV,https://www.youtube.com/watch?v=AG0jlKdB1s0,
2NE1,2NE1,MTBD,Live Performance,https://www.youtube.com/watch?v=cQ6xU7SSEn4,
2NE1,2NE1,Ugly,Official MV,https://www.youtube.com/watch?v=NGe0hHvAGkc,
4Minute,4Minute Offical Youtube Channel,Cold Rain,Official Music Video,https://www.youtube.com/watch?v=ZT9zbZGB2gE,
4Minute,4Minute Offical Youtube Channel,Crazy,Official Music Video,https://www.youtube.com/watch?v=1nCLBTmjJBY,
4Minute,4Minute Offical Youtube Channel,First,Official Music Video,https://www.youtube.com/watch?v=P1L8k4KXmbs,
4Minute,4Minute Offical Youtube Channel,Hate,Official Music Video,https://www.youtube.com/watch?v=D_F9HUTYnl0,
4Minute,4Minute Offical Youtube Channel,Heart to Heart,Official Music Video,https://www.youtube.com/watch?v=h97jt1XtnGQ,
4Minute,4Minute Offical Youtube Channel,HUH,Official Music Video,https://www.youtube.com/watch?v=kRbIZtUS2Ag,
4Minute,4Minute Offical Youtube Channel,Love Tension,Official Music Video,https://www.youtube.com/watch?v=omRLij2knRk,
4Minute,4Minute Offical Youtube Channel,Mirror Mirror,Official Music Video,https://www.youtube.com/watch?v=1fOG_wcV_oU,
